"F_ID","Year","Nest_box","Survival","Num_recruited","April_hatch","Synchrony","Clutch_size","Age","Immigrant","beech","pop_size","Spring_temp","winter_temp","winter_precip_t","spring_precip_t","Round","Half_fall","R_pop_size"
"TL38835",2010,"EX14",0,1,0.144606361204102,0.38360441436404,-0.461072480390351,"1","0","0",0.62162075019197,0.167878866531695,-0.828411198014702,-0.414313853526886,-1.42199917272102,"EX",-0.171788494228956,0.0424446029862068
"TP25779",2010,"SW122",0,0,-0.383458659312368,-0.267771918278907,0.147778005062837,"1","0","0",0.62162075019197,0.167878866531695,-0.828411198014702,-0.414313853526886,-1.42199917272102,"SW",-0.171788494228956,0.0424446029862068
"E018368",2009,"P19",0,0,-0.779507424699721,0.546448497524777,-0.461072480390351,"1","0","1",0.437728519501486,1.19652089012369,-1.36678379096956,1.41133548627064,-0.762815877862356,"P",-1.26226091708124,-0.204182413103157
"X235138",2010,"MP11",0,0,-1.17555619008707,-1.24483641724333,0.756628490516024,"2","1","0",0.62162075019197,0.167878866531695,-0.828411198014702,-0.414313853526886,-1.42199917272102,"MP",-0.171788494228956,0.0424446029862068
"J644931",2008,"W27",0,0,0.276622616333219,1.36066891332846,-1.06992296584354,"1","1","0",1.46752501136819,0.453184147139636,-0.66938367082025,-0.469636560793478,1.29645094409282,"W",-0.853333758511634,0.804746289080604
"T640388",2008,"P5",0,1,0.144606361204102,1.19782483016772,-0.461072480390351,"1","1","0",1.46752501136819,0.453184147139636,-0.66938367082025,-0.469636560793478,1.29645094409282,"P",-0.853333758511634,0.804746289080604
"T176948",2009,"C151",1,1,-2.23168623112001,-1.24483641724333,0.756628490516024,"2","1","1",0.437728519501486,1.19652089012369,-1.36678379096956,1.41133548627064,-0.762815877862356,"C",-1.26226091708124,-0.204182413103157
"T176948",2010,"C151",0,0,-1.30757244521619,-1.40768050040406,0.756628490516024,"2","1","0",0.62162075019197,0.167878866531695,-0.828411198014702,-0.414313853526886,-1.42199917272102,"C",-0.171788494228956,0.0424446029862068
"R639189",2007,"EX17",0,0,-0.911523679828838,1.36066891332846,0.147778005062837,"1","0","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
"VF63835",2008,"O107",0,0,0.0125901060749841,1.03498074700699,1.36547897596921,"2","0","0",1.46752501136819,0.453184147139636,-0.66938367082025,-0.469636560793478,1.29645094409282,"O",-0.853333758511634,0.804746289080604
"N200814",2003,"W89",0,0,-0.383458659312368,0.872136663846251,-1.67877345129673,"1","1","1",0.486766447685615,1.15796635922143,0.648596077726014,-0.0178344514496453,-0.583038615628174,"W",-1.1259518642247,0.782325651254298
"K578967",2003,"O61",0,0,-0.383458659312368,0.872136663846251,-1.06992296584354,"1","0","1",0.486766447685615,1.15796635922143,0.648596077726014,-0.0178344514496453,-0.583038615628174,"O",-1.1259518642247,0.782325651254298
"VR91539",1999,"MP69",0,0,-0.515474914441486,0.220760331203303,-1.06992296584354,"1","0","0",-0.248802475076319,1.34611391536771,0.596989321617416,0.454252650558604,0.0598012917546576,"MP",-0.717024705655098,-0.204182413103157
