"F_ID","April_hatch_t1","Spring_temp_t1","Spring_precip_t1","Round_t1","age_t1","pop_size_t1","R_pop_size_t1","Spring_temp_max_t1"
"T176948",-1.30927194868991,0.170234257828233,-1.4215152066995,"C",2,0.623863814932326,0.0457604184802786,0.627991026808097
"BP11908",-0.781207715734943,-0.707227242987294,-1.47055790898888,"W",2,-1.67897537425343,-2.01368540165656,-0.499725830235142
"BP11908",0.935001041368702,-1.03878105729036,-0.342575756333242,"W",2,-0.944026696853721,-1.14065945616377,-1.23080241693296
"BJ54694",0.80298498312996,-1.22383434807774,0.199618563421521,"B",2,-1.31150103555358,-1.588365069237,-0.700267535193315
"BH62730",0.670968924891218,-1.22383434807774,0.199618563421521,"MP",2,-1.31150103555358,-1.588365069237,-0.0717434131866795
"603704",-0.253143482779975,-0.785874891900399,0.188720185134994,"B",2,-0.968524986100378,-0.692953843090545,-0.212242691510669
"607098",2.25516162375612,-0.785874891900399,0.188720185134994,"EX",2,-0.968524986100378,-0.692953843090545,-1.43926972220685
"607098",2.25516162375612,-0.568437274896758,0.801753963752188,"CP",2,-1.27475360168359,-1.0063477722418,-0.929629604935897
"608794",1.46306527432367,-0.906159531350156,-0.0646671100267802,"B",2,-0.858282684490422,-0.446715755900271,-1.43926972220685
"BA01191",1.19903315784619,-0.785874891900399,0.188720185134994,"EX",2,-0.968524986100378,-0.692953843090545,-1.43926972220685
"608506",0.274920750174992,-0.906159531350156,-0.0646671100267802,"EX",2,-0.858282684490422,-0.446715755900271,-1.43926972220685
"607468",2.38717768199486,-0.906159531350156,-0.0646671100267802,"B",2,-0.858282684490422,-0.446715755900271,-1.43926972220685
"607468",0.935001041368702,-0.785874891900399,0.188720185134994,"B",2,-0.968524986100378,-0.692953843090545,-0.212242691510669
"BA12729",0.0108886336975085,-0.310904777346599,-0.334401972618346,"O",2,-1.17676044469696,-0.983962491588143,-0.578621578832459
"608661",0.538952866652476,-0.310904777346599,-0.334401972618346,"O",2,-1.17676044469696,-0.983962491588143,-0.578621578832459
"BA12804",-0.253143482779975,-0.906159531350156,-0.0646671100267802,"MP",2,-0.858282684490422,-0.446715755900271,-0.578621578832459
"BA12804",0.670968924891218,-0.785874891900399,0.188720185134994,"MP",2,-0.968524986100378,-0.692953843090545,-0.212242691510669
"BA12809",0.0108886336975085,-0.310904777346599,-0.334401972618346,"EX",2,-1.17676044469696,-0.983962491588143,-0.578621578832459
"BA12822",0.670968924891218,-0.310904777346599,-0.334401972618346,"EX",2,-1.17676044469696,-0.983962491588143,-0.578621578832459
"BA01686",0.80298498312996,-0.785874891900399,0.188720185134994,"B",2,-0.968524986100378,-0.692953843090545,-0.578621578832459
"608380",1.33104921608493,-0.310904777346599,-0.334401972618346,"B",2,-1.17676044469696,-0.983962491588143,-0.578621578832459
"608380",1.46306527432367,-0.785874891900399,0.188720185134994,"B",2,-0.968524986100378,-0.692953843090545,-1.43926972220685
"BA12840",0.538952866652476,-0.310904777346599,-0.334401972618346,"B",2,-1.17676044469696,-0.983962491588143,-0.578621578832459
"BA12840",1.19903315784619,-0.906159531350156,-0.0646671100267802,"B",2,-0.858282684490422,-0.446715755900271,-1.43926972220685
"BA12840",1.59508133256241,-0.785874891900399,0.188720185134994,"B",2,-0.968524986100378,-0.692953843090545,-0.212242691510669
"BA12840",0.935001041368702,-0.568437274896758,0.801753963752188,"B",2,-1.27475360168359,-1.0063477722418,-0.929629604935897
"608068",0.538952866652476,-0.310904777346599,-0.334401972618346,"W",2,-1.17676044469696,-0.983962491588143,-1.46664906875204
"608068",0.670968924891218,-0.906159531350156,-0.0646671100267802,"W",2,-0.858282684490422,-0.446715755900271,-1.43926972220685
"K53199",0.935001041368702,-2.16606402394998,-0.462457917485049,"O",2,-1.44624162641019,-1.36451226270039,-1.46664906875204
"608359",0.80298498312996,-0.310904777346599,-0.334401972618346,"O",2,-1.17676044469696,-0.983962491588143,-1.46664906875204
"608108",0.274920750174992,-2.16606402394998,-0.462457917485049,"EX",2,-1.44624162641019,-1.36451226270039,-1.46664906875204
"608108",0.935001041368702,-0.310904777346599,-0.334401972618346,"EX",2,-1.17676044469696,-0.983962491588143,-0.578621578832459
"608108",1.33104921608493,-0.906159531350156,-0.0646671100267802,"EX",2,-0.858282684490422,-0.446715755900271,-1.43926972220685
"608433",1.99112950727864,-2.16606402394998,-0.462457917485049,"B",2,-1.44624162641019,-1.36451226270039,-1.46664906875204
"607703",0.406936808413734,-0.310904777346599,-0.334401972618346,"O",2,-1.17676044469696,-0.983962491588143,-1.46664906875204
"607703",0.670968924891218,-0.906159531350156,-0.0646671100267802,"O",2,-0.858282684490422,-0.446715755900271,-1.43926972220685
"607378",0.14290469193625,-2.16606402394998,-0.462457917485049,"EX",2,-1.44624162641019,-1.36451226270039,-1.46664906875204
"608444",1.06701709960744,-2.16606402394998,-0.462457917485049,"CP",2,-1.44624162641019,-1.36451226270039,-1.46664906875204
"BA01767",1.19903315784619,-2.16606402394998,-0.462457917485049,"B",2,-1.44624162641019,-1.36451226270039,-1.46664906875204
"BA01767",0.538952866652476,-0.310904777346599,-0.334401972618346,"B",2,-1.17676044469696,-0.983962491588143,-0.578621578832459
"BA01767",0.14290469193625,-0.906159531350156,-0.0646671100267802,"B",2,-0.858282684490422,-0.446715755900271,-1.43926972220685
"BA01767",-0.121127424541233,-0.785874891900399,0.188720185134994,"B",2,-0.968524986100378,-0.692953843090545,-0.212242691510669
"BA02066",0.538952866652476,-2.16606402394998,-0.462457917485049,"B",2,-1.44624162641019,-1.36451226270039,-1.46664906875204
"BA02066",0.14290469193625,-0.310904777346599,-0.334401972618346,"B",2,-1.17676044469696,-0.983962491588143,-0.578621578832459
"BA02066",-0.517175599257459,-0.906159531350156,-0.0646671100267802,"B",2,-0.858282684490422,-0.446715755900271,-1.43926972220685
"BA02109",0.935001041368702,-2.16606402394998,-0.462457917485049,"B",2,-1.44624162641019,-1.36451226270039,-1.46664906875204
"BA02109",-0.385159541018717,-0.310904777346599,-0.334401972618346,"B",2,-1.17676044469696,-0.983962491588143,-0.578621578832459
"BA01047",0.538952866652476,-2.16606402394998,-0.462457917485049,"B",2,-1.44624162641019,-1.36451226270039,-1.46664906875204
"BA01047",-0.649191657496201,-0.310904777346599,-0.334401972618346,"B",2,-1.17676044469696,-0.983962491588143,-0.578621578832459
"BA02132",0.670968924891218,-2.16606402394998,-0.462457917485049,"B",2,-1.44624162641019,-1.36451226270039,-1.46664906875204
"BA02132",0.0108886336975085,-0.310904777346599,-0.334401972618346,"B",2,-1.17676044469696,-0.983962491588143,-0.578621578832459
"BA02132",0.274920750174992,-0.906159531350156,-0.0646671100267802,"B",2,-0.858282684490422,-0.446715755900271,-1.43926972220685
"BA02133",0.406936808413734,-2.16606402394998,-0.462457917485049,"B",2,-1.44624162641019,-1.36451226270039,-1.46664906875204
"BA02133",0.538952866652476,-0.310904777346599,-0.334401972618346,"B",2,-1.17676044469696,-0.983962491588143,-0.578621578832459
"BA01624",1.72709739080115,-2.16606402394998,-0.462457917485049,"B",2,-1.44624162641019,-1.36451226270039,-1.46664906875204
"BA01624",0.406936808413734,-0.310904777346599,-0.334401972618346,"B",2,-1.17676044469696,-0.983962491588143,-0.578621578832459
"BA01624",0.274920750174992,-0.906159531350156,-0.0646671100267802,"B",2,-0.858282684490422,-0.446715755900271,-1.43926972220685
"BA01624",0.274920750174992,-0.785874891900399,0.188720185134994,"B",2,-0.968524986100378,-0.692953843090545,-0.212242691510669
"BA01624",1.59508133256241,-0.568437274896758,0.801753963752188,"B",2,-1.27475360168359,-1.0063477722418,-0.929629604935897
"BA02125",1.06701709960744,-2.16606402394998,-0.462457917485049,"B",2,-1.44624162641019,-1.36451226270039,-1.46664906875204
"608749",1.06701709960744,-2.16606402394998,-0.462457917485049,"B",2,-1.44624162641019,-1.36451226270039,-1.46664906875204
"608749",0.80298498312996,-0.310904777346599,-0.334401972618346,"B",2,-1.17676044469696,-0.983962491588143,-0.578621578832459
"608749",1.33104921608493,-0.906159531350156,-0.0646671100267802,"B",2,-0.858282684490422,-0.446715755900271,-1.43926972220685
"608749",1.59508133256241,-0.785874891900399,0.188720185134994,"B",2,-0.968524986100378,-0.692953843090545,-0.212242691510669
"608749",1.19903315784619,-0.326325884912215,0.537468290303886,"B",2,-1.67897537425343,-1.72267675315897,-0.929629604935897
"BA01581",0.274920750174992,-2.16606402394998,-0.462457917485049,"B",2,-1.44624162641019,-1.36451226270039,-1.46664906875204
"BA01581",0.14290469193625,-0.310904777346599,-0.334401972618346,"B",2,-1.17676044469696,-0.983962491588143,-0.578621578832459
"BA01581",1.06701709960744,-0.906159531350156,-0.0646671100267802,"B",2,-0.858282684490422,-0.446715755900271,-1.43926972220685
