F_ID,Year,Nest_box,Survival,Num_recruited,April_hatch,Synchrony,Clutch_size,Age,Immigrant,beech,pop_size,Spring_temp,winter_temp,winter_precip_t,spring_precip_t,Round,Half_fall,R_pop_size,Spring_temp_GT,Spring_temp_cat
TL38835,2010,EX14,0,1,48,-10,8,1,0,0,277,8.026761,3.193333,140.8,54.1,EX,58,133,12.8466176470588,12.6498863636364
TP25779,2010,SW122,0,0,44,-14,9,1,0,0,277,8.026761,3.193333,140.8,54.1,SW,58,133,12.8466176470588,12.6498863636364
E018368,2009,P19,0,0,41,-9,8,1,0,1,262,8.966197,2.471111,239.8,78.3,P,50,122,13.6294117647059,13.4490909090909
X235138,2010,MP11,0,0,38,-20,10,4,1,0,277,8.026761,3.193333,140.8,54.1,MP,58,133,12.8466176470588,12.6498863636364
J644931,2008,W27,0,0,49,-4,7,1,1,0,346,8.287324,3.406667,137.8,153.9,W,53,167,12.6505882352941,12.9596590909091
T640388,2008,P5,0,1,48,-5,8,1,1,0,346,8.287324,3.406667,137.8,153.9,P,53,167,12.6505882352941,12.9596590909091
T176948,2009,C151,1,1,30,-20,10,2,1,1,262,8.966197,2.471111,239.8,78.3,C,50,122,13.6294117647059,13.4490909090909
T176948,2010,C151,0,0,37,-21,10,3,1,0,277,8.026761,3.193333,140.8,54.1,C,58,133,12.8466176470588,12.6498863636364
R639189,2007,EX17,0,0,40,-4,9,1,0,1,386,9.557746,5.705495,156.6,137,EX,44,196,14.7332352941176,14.4635227272727
TC59291,2006,C62,0,0,48,-11,NA,1,0,1,312,7.74507,6.503333,223,141,C,59,144,12.1452941176471,11.8993181818182
VF63835,2008,O107,0,0,47,-6,11,4,0,0,346,8.287324,3.406667,137.8,153.9,O,53,167,12.6505882352941,12.9596590909091
N200814,2003,W89,0,0,44,-7,6,1,1,1,266,8.930986,5.174725,162.3,84.9,W,51,166,14.1573529411765,13.9013636363636
K578967,2003,O61,0,0,44,-7,7,1,0,1,266,8.930986,5.174725,162.3,84.9,O,51,166,14.1573529411765,13.9013636363636
VR91539,1999,MP69,0,0,43,-11,7,1,0,0,206,9.102817,5.105495,187.9,108.5,MP,54,122,13.0636764705882,13.0706818181818
VR90012,1998,W64,0,0,47,-9,9,2,0,1,232,8.373239,5.533333,197.5,128.6,W,56,165,11.8219117647059,12.7677272727273
