ID,FATHER,MOTHER
603701,NA,NA
603703,NA,NA
603704,NA,NA
603711,NA,NA
603714,NA,NA
603717,NA,NA
603719,NA,NA
603733,NA,NA
603740,NA,NA
603743,NA,NA
603744,NA,NA
603746,NA,NA
603747,NA,NA
603748,NA,NA
603750,NA,NA
607001,NA,NA
608302,NA,NA
608304,NA,NA
608322,NA,NA
608323,NA,NA
608327,NA,NA
608330,NA,NA
608333,NA,NA
608339,NA,NA
608359,NA,NA
608365,NA,NA
608368,NA,NA
608372,NA,NA
608380,NA,NA
608397,NA,NA
608404,NA,NA
608422,NA,NA
608427,NA,NA
608430,NA,NA
608431,NA,NA
608433,NA,NA
608444,NA,NA
608448,NA,NA
608449,NA,NA
608450,NA,NA
608451,NA,NA
608452,NA,NA
608499,NA,NA
608502,NA,NA
608505,NA,NA
608506,NA,NA
608523,NA,NA
608564,NA,NA
608613,NA,NA
608618,NA,NA
608620,NA,NA
608639,NA,NA
608661,NA,NA
608674,NA,NA
608678,NA,NA
608685,NA,NA
608712,NA,NA
608729,NA,NA
608731,NA,NA
608749,NA,NA
608794,NA,NA
A003752,NA,NA
A003753,NA,NA
A003754,NA,NA
A003755,NA,NA
A003758,NA,NA
A003759,NA,NA
A003760,NA,NA
A003761,NA,NA
A003762,NA,NA
A003763,NA,NA
A003764,NA,NA
A003765,NA,NA
A003766,NA,NA
A003767,NA,NA
A003768,NA,NA
A003770,NA,NA
A003771,NA,NA
A003772,NA,NA
A003773,NA,NA
A003774,NA,NA
A003775,NA,NA
A003776,NA,NA
A003777,NA,NA
A003778,NA,NA
A003779,NA,NA
A003799,NA,NA
A003801,NA,NA
A003802,NA,NA
A003804,NA,NA
A003807,NA,NA
A003808,NA,NA
A003809,NA,NA
A003813,NA,NA
A004616,NA,NA
A006569,NA,NA
A007114,NA,NA
A007115,NA,NA
A007116,NA,NA
A007117,NA,NA
A007119,NA,NA
A007120,NA,NA
A007121,NA,NA
A007122,NA,NA
A007123,NA,NA
A007124,NA,NA
A007125,NA,NA
A007126,NA,NA
A007127,NA,NA
A007129,NA,NA
A007130,NA,NA
A007131,NA,NA
A007132,NA,NA
A007133,NA,NA
A007134,NA,NA
A007145,NA,NA
A007146,NA,NA
A007147,NA,NA
A007148,NA,NA
A007149,NA,NA
A007150,NA,NA
A007298,NA,NA
A007450,NA,NA
A007672,NA,NA
A007674,NA,NA
A007675,NA,NA
A007700,NA,NA
A007831,NA,NA
A007832,NA,NA
A007833,NA,NA
A007834,NA,NA
A007841,NA,NA
A007862,NA,NA
A007863,NA,NA
A007864,NA,NA
A007865,NA,NA
A007866,NA,NA
A007867,NA,NA
A007868,NA,NA
A007869,NA,NA
A007870,NA,NA
A007871,NA,NA
A007872,NA,NA
A007873,NA,NA
A007874,NA,NA
A007875,NA,NA
A007876,NA,NA
A007877,NA,NA
A007878,NA,NA
A007879,NA,NA
A007880,NA,NA
A007881,NA,NA
A007882,NA,NA
A007883,NA,NA
A007884,NA,NA
A007885,NA,NA
A007886,NA,NA
